heading,price,model,extracted_brand,extracted_model,extracted_vram,matched_model_number,canonical_url
"Gaming pc, Komplett bygd i 2013.",3500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/374875663
Gaming Pc,6500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/374355431
"Gaming pakke. Super startpakke for ungdom. PC, tastatur, mus, mikrofon.",4000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=365593097
Gaming-PC Selges Billig,2600,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=81070383
GAMING PAKKE SELGES!!!!,8000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=372202786
Miningrig uten GPU,1000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=371240068
Stasjonær Gaming PC,4000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=369977921
Stasjonær Gaming PC - i7-4770K + GTX 1070,4200,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=350245290
Komplett Gaming PC,5000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=369634559
Gaming PC Acer Aspicre TC-895 med 2 skjermer,5499,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=359028247
Stasjonær PC sett,3000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=371445089
Solid og kraftig Gaming/redigering/kontor PC!,3900,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375359713
"Gaming PC, tastatur og mus",5500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=368920226
MSI gtx 1070 8gb,1000,GeForce GTX 1070 8 GB,NVIDIA,gtx 1070,8,gtx 1070,https://www.finn.no/bap/forsale/ad.html?finnkode=374042153
Gaming pc,4500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=373154790
Gaming pc (GTX 1080….),5500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=372128866
Komplett Gaming PC!,6999,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=372014033
Stasjonær pc selges,6000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=367460733
"InWin GRone Full Tower Svart RGB  i5 7400 3,0GHz, 16GB, 128GB SSD, 1TB",3800,Unknown,,7400,16,,https://www.finn.no/recommerce/forsale/item/375629474
"Gaming PC i7, RTX 2070, Vannkjøling",5000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=370433326
Gigabyte GTX 1080TI Gaming OC 11GB,2000,GeForce GTX 1080 Ti 11 GB,NVIDIA,gtx 1080 ti,11,gtx 1080 ti,https://www.finn.no/bap/forsale/ad.html?finnkode=372529181
"Lenovo V520S, Intel i5-7400, DDR4-8gb, SSD M2-128Gb, HDD-1Tb, Wi-Fi, Win 10 Pro",1800,Unknown,,7400,8,,https://www.finn.no/bap/forsale/ad.html?finnkode=361959373
"PC - AMD Ryzen7 1700X, 16 GB ram, 1050 TI 4GB, Fractal Design Kabinett",2000,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/360528424
"Gaming Pc selges billig! Ryzen5,gtx1060,SSD",2600,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=369063730
Gaming PC med AMD Ryzen 5 1600X og GeForce GTX 1660,7500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=373539176
Diverse Data deler,4000,GeForce GTX 1060 6 GB,NVIDIA,gtx 1060,6,gtx 1060,https://www.finn.no/bap/forsale/ad.html?finnkode=368072114
Acer Predator g3-710 gaming pc,4500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=372145561
MSI Radon R9 380 Gaming 4gb,2390,Unknown,,380,4,,https://www.finn.no/bap/forsale/ad.html?finnkode=298403201
NZXT Gaming datamaskin,4500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=360236019
Kraftig PC | Perfekt for tyngre kontoroppgaver og gaming,7500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=372449834
Gaming PC - i7-8700k - GTX 1060 6GB - 16GB RAM - 256GB NvMe + 256GB  SSD,4000,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375989281
"HP / ACER 16gb ddr4, i5 11400f, gtx 1660S, m2 ssd og windows 11",4995,Unknown,NVIDIA,gtx 1660 super,16,,https://www.finn.no/recommerce/forsale/item/375987420
HP Omen 25L Stasjonær Gaming-PC,7000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=369880228
NVIDIA GeForce RTX 2070 MSI Armor 8GB,2499,GeForce RTX 2070 8 GB,NVIDIA,rtx 2070,8,rtx 2070,https://www.finn.no/bap/forsale/ad.html?finnkode=329969572
"6GPU Mining Rig Startpakke (Ramme, Hovedkort, RAM, SSD, CPU, Risere og Vifter)",3499,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=253721118
"Retro Hp, Win98, Pentium 3, Nvidia tnt 2 +++",2300,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375337808
Gaming PC (Gratis frakt),4999,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375339522
"Mac Pro 5,1 (mid 2010), 2 x 3,46Ghz CPU, 64GB RAM, 1TB SSD, 6TB backupdisk",5000,Unknown,,2010,64,,https://www.finn.no/recommerce/forsale/item/375239619
Gaming-PC fra 2016 selges til god sum,3800,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/374039056
Selger bra gaming-PC. GTX 1060 6GB,3000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=372193495
Acer nitro Gaming PC  selges komplett med alt utstyr. RTX 2060.,6500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/374866115
Baby AT-kabinett m/ Socket 7 hovedkort,2000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=370145166
Solid gaming pc,4200,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=371064137
HP ProDesk,2000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=368963933
Grei gaming pc,2900,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=360874077
GeForce GTX 1070 Quick Silver 8G OC,1400,GeForce GTX 1070 8 GB,NVIDIA,gtx 1070,,gtx 1070,https://www.finn.no/bap/forsale/ad.html?finnkode=370424423
i7 gaming pc,2500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/374420980
"MSI GeForce GTX 1080 Gaming X! Lite brukt, selges rimelig.",2400,GeForce GTX 1080 8 GB,NVIDIA,gtx 1080,,gtx 1080,https://www.finn.no/bap/forsale/ad.html?finnkode=190878936
Nvidia PNY Quadro P5000 16GB,7500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=268511754
"16gb ddr4, i5 11400f, gtx 1660S, m2 ssd og windows 11 licens.",4899,Unknown,NVIDIA,gtx 1660 super,16,,https://www.finn.no/recommerce/forsale/item/364004038
Dell Precision T5500 kontor pc med Windows 11 Pro,2399,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=369436403
PC | Intel i5| RX570 8GB,2700,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=342919471
Gaming PC X299 GTX 1070 32GB Ram,7000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=369142743
Gaming PC ROG RTX 2070,8000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=370948327
GAMING PC - KABINETT - NOCTUNA VIFTER  - kjøpt nytt februar / mars 2024,3800,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=348824717
Stasjonær PC GTX 1660Ti,3000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=327222355
Gaming PC,7000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=370483561
Stasjonær pc til gaming,4000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=367894169
"ASUS TUF SABERTOOTH X58, i7 960, 12GB Kingston DDR3",1200,Unknown,,960,12,,https://www.finn.no/bap/forsale/ad.html?finnkode=370342064
Acer Nitro Gaming PC Oppsett selges billig!,5500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/374561768
Hp z4 G4 Server/workstation i9-7900x,8000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=362483988
Gaming pc | i7 -9gen | 32GB DDR4 | RTX 2060 | 1 TB M.2 SSD | Lydisolert,6500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375990362
"Intel i9-10900X Prosessor, LGA2066",4500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=370581149
Intel i9-10900X Prosessor LGA2066 (Uåpnet),5000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=370581148
Stasjonær Gaming PC med 1TB SSD (fin til kontor PC også),3500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=363043078
"gaming pc, med logitech tastatur og datamus",5000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=355782948
NY PRIS! Stasjonær PC minitower,7000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=371425915
God stasjonær pc for kontorarbeid og lett gaming,4001,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=371338735
Gaming PC fra Komplett,6000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=366778044
"Stasjoner Gaming Pc (i7-8700k, MSI GTX 1070)",8000,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/372987975
Datamaskin sett,6500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=358981520
Gaming PC (Gratis frakt),6500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/374936715
Gamingpc,3000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=288383125
Stasjonær pc -  Fractal Design Define R5 Hvit,3200,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=372885726
Gaming pc,5000,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/374475796
Stasjonær PC for Gaming / Acer Nitro N50-610,8000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=314703269
"Gaming-pc m/GeForce 1070, 16GB minne, 500GB M.2, AMD Ryzen 5",4000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=358153571
Acer TC-895 med RTX 3060.  Strøken gaming PC med nygaranti.,7500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375482141
"MASSE datautstyr og deler - RAM, CPUer, GPUer, gamingtastatur, headset, mus++++",1990,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=333825410
Ekstern GPU m thunderbolt,1599,GeForce GTX 1080 Ti 11 GB,NVIDIA,1080 ti,,1080 ti,https://www.finn.no/bap/forsale/ad.html?finnkode=351376977
Gaming Pc Ryzen 3 3200G-Rx 5500xt 8Gb-16Gb Ram,4500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/373749258
Gaming PC selges billig,7000,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/373695913
PC med  åpen kabinett,3800,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=371906184
Komplett Gaming PC,7000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=373408572
"Lenovo ThinkCentre med I5-8500T, 16Gb RAM, 256Gb NVME",3900,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=369276174
Gaming Pc I5 9400F-Rtx 2060-16Gb Ram,6500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375914439
"PC Deler, nesten komplett PC",6500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/372772293
Utdatert stasjonær gaming pc 2017,4500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/371598001
🎮 Gaming PC 🎮,3500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=372517180
Gaming PC,4500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=367047245
"Brukt Gaming maskin i3-7100 3.9Ghz, 8 GB RAM, 2x 256 GB SSD uten lisens",2999,GeForce GTX 1060 6 GB,NVIDIA,gtx 1060,6,gtx 1060,https://www.finn.no/bap/forsale/ad.html?finnkode=341981334
Selvbygd datamaskin,2900,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/320903793
Gaming Pc - NVIDIA GeForce GTX 1660 SUPER,6500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=288334991
Gaming pc selges,8000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=367351376
"Mac Pro 4.1 (5,1)",3500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=222436251
Komplett Epic Gaming Pc,6000,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375883961
"PC Oppgraderingspakke | Ryzen 9 3900 | 12 Core, 24 Thread",3450,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=373217394
Gaming pc,4000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=370912449
High end Gaming PC - Komplett gamer,5000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=369281890
Lenovo IdeaCentre Type 90DD - oppgradert ram og lagring,3700,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=317169899
"STRØKEN iMac 21,5 late 2013, Sonoma - SPREK iMAC! NY REDUSERT PRIS!",3200,Unknown,,2013,,,https://www.finn.no/bap/forsale/ad.html?finnkode=359960969
Komplett gaming PC,4000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=367081836
"Nytt 4090 TUF OC, 6900xt,3060ti/70ti,  3070,PNY3070, turbo 3070, Zotac 3070ti",3250,Radeon RX 6900 XT 16 GB,AMD,6900 xt,,6900 xt,https://www.finn.no/bap/forsale/ad.html?finnkode=368437409
"Billig, nesten ny Gaming PC",6000,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375266180
"Mac Pro 5.1 (ssd, 40Gb RAM, 6/12 3.46GHz, gtx 680 og Radeon HD 7970",6000,Unknown,NVIDIA,gtx 680,40,,https://www.finn.no/bap/forsale/ad.html?finnkode=371187039
Gaming-PC i Apple G5-kabinett,3500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=367930076
"Hp One 400 Alt i en pc, Intel i3, 12gb,ssd, win 10 ++",1000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=367735244
Retro Gaming: Asus 7900 GTX King Kong Limited Edition,1500,Unknown,NVIDIA,7900,,,https://www.finn.no/bap/forsale/ad.html?finnkode=359598161
Kraftig Gaming PC• RTX 2060 - R7 3700X- 16GB RAM- 1TB M.2 SSD,6500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=366879786
Kraftig 1080p / 1440p gaming pc! | Ryzen 5 / 1 TB SSD / WiFi,5699,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375118672
Helt nytt (Uåpnat) RTX 3080 med pen RGB,5500,GeForce RTX 3080 10 GB,NVIDIA,rtx 3080,,rtx 3080,https://www.finn.no/recommerce/forsale/item/376030511
Gaming pc,2000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=372419888
Gaming PC selges,7900,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/366454012
Gaming PC med 1080ti selges,7499,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=367931756
"Eldre gaming PC i7 920, GTX680, full custom vannkjøling.",1000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=369491760
"Windows XP pakke, alt inkludert.",1000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=373290453
"Kompakt Nybygget Gaming/Kontor PC - i5-4590S, RX 570 8GB, 750GB lagring",3200,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/355602884
Rå Custom Gaming PC | Ryzen 7 5800x3D | 16gb 3800mhzCL16 OC ram | GTX 1080,7200,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/374485722
MineBox 8 Large 70mm miner server box/case,6500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=306212269
Gaming Pc / Intel i7 / 16GB Ram,5500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375146876
"Gaming Pc med skjerm, keyboard, mus, høytalere, headset mm.",6500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=369311423
"Kompakt og rask gaming-PC selges! I7-4790, GTX 970, 16Gb,SSD. W10 og Office.",3200,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=368896286
Gaming pc || intel-i7 || gtx 1060 || 16 gb RAM || 500 gb HDD || 256 gb SSD||,3000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=353083560
Komplett i70 Epic Gaming PC,4350,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=371928421
HELT RÅ LENOVO LEGION T5 R7 GAMING-PC - Ryzen 7-5700G 16GB RAM 1TB SSD GTX1060,7995,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=209862924
IBM Aptiva P233mhz med 3dfx Voodoo 1,3000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=371075547
komplett i120 Epic Gaming PC - RTX 3060 Edition,7900,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=370814034
Gaming PC | RTX 2070 | i7-7700k 4.2GHz | 16GB 3200MHz RAM |  Lynrask M.2 Nvme,5000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=370608697
"Asus 27"" 4K gamingskjerm ROG Strix XG27UQ",5500,Radeon RX 5700 8 GB,NVIDIA,rx 5700,,rx 5700,https://www.finn.no/bap/forsale/ad.html?finnkode=372724808
"PC ( i5-7500, RX570 8 GB, 1TB M.2 Lagring)  MED GRATIS SKJERM",4500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=369975141
ASUS ROG Strix B550-E GAMING Hovedkort,2275,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=374156380
6U NAS Kabinett med SAS backplane - Passer i 60cm rack!,6000,GeForce GTX 1080 Ti 11 GB,NVIDIA,1080 ti,,1080 ti,https://www.finn.no/bap/forsale/ad.html?finnkode=367447424
BELKIN Thunderbolt 3 Dock Plus,1400,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/374978883
Komplett Gamer - 144Hz Edition,8000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=368798902
2 x Geforce GTX 680 kort,1500,Unknown,NVIDIA,gtx 680,,,https://www.finn.no/bap/forsale/ad.html?finnkode=367180380
Som ny gaming PC,5499,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=367889036
iMac 27 late 2012 med Sonoma - klar for 2024! Perfekt studentmaskin!,2500,Unknown,,2012,,,https://www.finn.no/recommerce/forsale/item/354839565
"iMac 21,5 mid 2011, SSD og Sonoma OS installert - rask maskin!",2900,Unknown,,2011,,,https://www.finn.no/bap/forsale/ad.html?finnkode=359945325
Gaming pc,8000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=372470512
